Extension,Version,Folder,SizeMB,SizeGB
zeybek.camouflage,1.3.0-universal,zeybek.camouflage-1.3.0-universal,0.46,0.0
create3000.x3d-vscode-syntax-highlighting,1.3.7-universal,create3000.x3d-vscode-syntax-highlighting-1.3.7-universal,0.45,0.0
molaga.vectis,0.2.0-universal,molaga.vectis-0.2.0-universal,0.45,0.0
ms-toolsai.vscode-jupyter-cell-tags,0.1.9,ms-toolsai.vscode-jupyter-cell-tags-0.1.9,0.45,0.0
ofershap.cursor-office,0.2.0-universal,ofershap.cursor-office-0.2.0-universal,0.45,0.0
pruvalex.pruvalex-pruvagraph,1.9.1-universal,pruvalex.pruvalex-pruvagraph-1.9.1-universal,0.45,0.0
disjukr.json-type-checker,0.1.3-universal,disjukr.json-type-checker-0.1.3-universal,0.44,0.0
karaniph.python-code-mentor,2.2.3-universal,karaniph.python-code-mentor-2.2.3-universal,0.44,0.0
mrchetan.phpstorm-parameter-hints-in-vscode,1.2.1-universal,mrchetan.phpstorm-parameter-hints-in-vscode-1.2.1-universal,0.44,0.0
pawelhuryn.claude-usage-phuryn,1.5.5-universal,pawelhuryn.claude-usage-phuryn-1.5.5-universal,0.44,0.0
razroel.task-master-vscode-extension,0.1.3-universal,razroel.task-master-vscode-extension-0.1.3-universal,0.44,0.0
river.java-launcher,1.4.1-universal,river.java-launcher-1.4.1-universal,0.44,0.0
codavidgarcia.antigravity-greenlight,1.2.2-universal,codavidgarcia.antigravity-greenlight-1.2.2-universal,0.43,0.0
codmir.codmir-ide,0.5.1-universal,codmir.codmir-ide-0.5.1-universal,0.43,0.0
compresr.compresr,0.1.6-universal,compresr.compresr-0.1.6-universal,0.43,0.0
intersystems-community.servermanager,3.12.3-universal,intersystems-community.servermanager-3.12.3-universal,0.43,0.0
siropkin.budi,1.5.8-universal,siropkin.budi-1.5.8-universal,0.43,0.0
vshaxe.hxcpp-debugger,1.2.4-universal,vshaxe.hxcpp-debugger-1.2.4-universal,0.43,0.0
coderoom.selfcoder,1.1.150-universal,coderoom.selfcoder-1.1.150-universal,0.42,0.0
devsessioncanvas.dev-session-canvas-notifier,0.24.2-universal,devsessioncanvas.dev-session-canvas-notifier-0.24.2-universal,0.42,0.0
formulahendry.agent-skills,0.0.4-universal,formulahendry.agent-skills-0.0.4-universal,0.42,0.0
gguf.durian,0.0.5-universal,gguf.durian-0.0.5-universal,0.42,0.0
ms-toolsai.vscode-jupyter-slideshow,0.1.6,ms-toolsai.vscode-jupyter-slideshow-0.1.6,0.42,0.0
nexalyte-tech-solutions.agent-execution-orchestration-node,1.0.1-universal,nexalyte-tech-solutions.agent-execution-orchestration-node-1.0.1-universal,0.42,0.0
skyran.ran-commit,0.0.20-universal,skyran.ran-commit-0.0.20-universal,0.42,0.0
jeffersonvargas.fluxsql,0.0.3-universal,jeffersonvargas.fluxsql-0.0.3-universal,0.41,0.0
krnlcode.krnl-code,2.3.5-universal,krnlcode.krnl-code-2.3.5-universal,0.41,0.0
lukadevv.chronest,1.1.7-universal,lukadevv.chronest-1.1.7-universal,0.41,0.0
nangui.makoki-visualizer,0.1.5-universal,nangui.makoki-visualizer-0.1.5-universal,0.41,0.0
numlia-vs.git-keizu,0.8.1-universal,numlia-vs.git-keizu-0.8.1-universal,0.41,0.0
philau2512.explorer-line-count,1.0.0-universal,philau2512.explorer-line-count-1.0.0-universal,0.41,0.0
smx.remote-config-gen,1.0.0-universal,smx.remote-config-gen-1.0.0-universal,0.41,0.0
sr-team.inline-codelens,0.0.4-universal,sr-team.inline-codelens-0.0.4-universal,0.41,0.0
techfetch-dev.codex-account-switch-vscode,1.8.6-universal,techfetch-dev.codex-account-switch-vscode-1.8.6-universal,0.41,0.0
daninemonic.mcp4humans,1.0.7-universal,daninemonic.mcp4humans-1.0.7-universal,0.4,0.0
datasciencetech.forcefield,0.10.2-universal,datasciencetech.forcefield-0.10.2-universal,0.4,0.0
epochix.epochix,0.5.17-universal,epochix.epochix-0.5.17-universal,0.4,0.0
foxication.bevy-inspection,0.1.2-universal,foxication.bevy-inspection-0.1.2-universal,0.4,0.0
kriek-institutional-research.antigravity-forensics,0.2.8-universal,kriek-institutional-research.antigravity-forensics-0.2.8-universal,0.4,0.0
robin-collins.chatledger-antigravity,1.1.5-universal,robin-collins.chatledger-antigravity-1.1.5-universal,0.4,0.0
shqear.json-orbit,0.2.1-universal,shqear.json-orbit-0.2.1-universal,0.4,0.0
slaugaus.visual-json,1.0.0-universal,slaugaus.visual-json-1.0.0-universal,0.4,0.0
codebyabi.fahh-error-sound,0.0.8-universal,codebyabi.fahh-error-sound-0.0.8-universal,0.39,0.0
cognitra.vibe-check,0.7.0-universal,cognitra.vibe-check-0.7.0-universal,0.39,0.0
ivanpasco.clean-language,2.1.0-universal,ivanpasco.clean-language-2.1.0-universal,0.39,0.0
izantech.scrcpy-vscode,0.1.4-universal,izantech.scrcpy-vscode-0.1.4-universal,0.39,0.0
omegaapi.omegaapi-ai,1.0.0-universal,omegaapi.omegaapi-ai-1.0.0-universal,0.39,0.0
sergey-zinchenko.dial-chat-model-provider,0.1.1-universal,sergey-zinchenko.dial-chat-model-provider-0.1.1-universal,0.39,0.0
supperide.supperide-extension,0.5.1-universal,supperide.supperide-extension-0.5.1-universal,0.39,0.0
touhidion.neurosync,1.1.0-universal,touhidion.neurosync-1.1.0-universal,0.39,0.0
cecicifu.cursor-plans-history,1.2.1-universal,cecicifu.cursor-plans-history-1.2.1-universal,0.38,0.0
devyas319.csv-interactive-table-viewer,0.1.5-universal,devyas319.csv-interactive-table-viewer-0.1.5-universal,0.38,0.0
everjusts.company-dossier,2.11.0-universal,everjusts.company-dossier-2.11.0-universal,0.38,0.0
harishkaparwan.milvus-db-studio,0.1.0-universal,harishkaparwan.milvus-db-studio-0.1.0-universal,0.38,0.0
vinkius.ide-catalog,0.1.1-universal,vinkius.ide-catalog-0.1.1-universal,0.38,0.0
yoruhub.synaptree,0.1.8-universal,yoruhub.synaptree-0.1.8-universal,0.38,0.0
zardoy.ide-scripting,0.1.12-universal,zardoy.ide-scripting-0.1.12-universal,0.38,0.0
zenroychance.blink-time-tracker-cursor,0.0.20-universal,zenroychance.blink-time-tracker-cursor-0.0.20-universal,0.38,0.0
buscasclientes.webmcp-pro-freaks-p2win,1.4.3-universal,buscasclientes.webmcp-pro-freaks-p2win-1.4.3-universal,0.37,0.0
devyas319.csv-table-viewer,0.1.8,devyas319.csv-table-viewer-0.1.8,0.37,0.0
dr-mohammed-hamed.android-studio-flash,0.3.1-universal,dr-mohammed-hamed.android-studio-flash-0.3.1-universal,0.37,0.0
eclipse-cdt.vscode-trace-server,0.2.6-universal,eclipse-cdt.vscode-trace-server-0.2.6-universal,0.37,0.0
focomai.focom,0.0.4-universal,focomai.focom-0.0.4-universal,0.37,0.0
hnaut.voxai-prompt,3.0.5-universal,hnaut.voxai-prompt-3.0.5-universal,0.37,0.0
imandra.codelogician-traces,0.1.3-universal,imandra.codelogician-traces-0.1.3-universal,0.37,0.0
yishifuhua.local-history-chinese,1.8.3-universal,yishifuhua.local-history-chinese-1.8.3-universal,0.37,0.0
cloudstudio.code-assistant-pro,0.0.3-universal,cloudstudio.code-assistant-pro-0.0.3-universal,0.36,0.0
darknova.aditya-ghost-writer,1.0.0-universal,darknova.aditya-ghost-writer-1.0.0-universal,0.36,0.0
hudakf.cds,0.7.3-universal,hudakf.cds-0.7.3-universal,0.36,0.0
m121752332.genero-fgl,0.1.8-universal,m121752332.genero-fgl-0.1.8-universal,0.36,0.0
nguyenxuanvinh.vtcode-companion,0.50.14-universal,nguyenxuanvinh.vtcode-companion-0.50.14-universal,0.36,0.0
nockasdd.domyh-auto-accept,1.0.7-universal,nockasdd.domyh-auto-accept-1.0.7-universal,0.36,0.0
operon.operon-vscode,0.4.0-universal,operon.operon-vscode-0.4.0-universal,0.36,0.0
posit.shiny,1.4.1,posit.shiny-1.4.1,0.36,0.0
redemptionroad.redemption-road-ai,1.0.0-universal,redemptionroad.redemption-road-ai-1.0.0-universal,0.36,0.0
tenureai.tenure-vscode,1.0.25-universal,tenureai.tenure-vscode-1.0.25-universal,0.36,0.0
yxshee.skill-manager-antigravity,1.2.1-universal,yxshee.skill-manager-antigravity-1.2.1-universal,0.36,0.0
chatflip.resource-lens,0.1.0-universal,chatflip.resource-lens-0.1.0-universal,0.35,0.0
codestralagent.codestral-ai,0.1.7-universal,codestralagent.codestral-ai-0.1.7-universal,0.35,0.0
greenplumwine.mybatis-helper,0.0.3-universal,greenplumwine.mybatis-helper-0.0.3-universal,0.35,0.0
julienpironfr.8810,1.4.6-universal,julienpironfr.8810-1.4.6-universal,0.35,0.0
oolab-labs.claude-ide-bridge-extension,1.4.24-universal,oolab-labs.claude-ide-bridge-extension-1.4.24-universal,0.35,0.0
statewavedev.statewave-ide-companion,0.1.13-universal,statewavedev.statewave-ide-companion-0.1.13-universal,0.35,0.0
ultimate-ai-team.ultimate-ai,1.0.0-universal,ultimate-ai-team.ultimate-ai-1.0.0-universal,0.35,0.0
wassimdev.wassimdev-vscode-deepseek,0.0.5-universal,wassimdev.wassimdev-vscode-deepseek-0.0.5-universal,0.35,0.0
dominodatalab.domino-data-lab-vscode-extension,1.0.10-universal,dominodatalab.domino-data-lab-vscode-extension-1.0.10-universal,0.34,0.0
ebenezerdon.npm-studio,1.0.2-universal,ebenezerdon.npm-studio-1.0.2-universal,0.34,0.0
liondoge.vscript-debug,0.2.7-universal,liondoge.vscript-debug-0.2.7-universal,0.34,0.0
gitrcokr.gitrcokr,1.1.1-universal,gitrcokr.gitrcokr-1.1.1-universal,0.33,0.0
hiadev.antigravity-quota-monitor,1.0.4-universal,hiadev.antigravity-quota-monitor-1.0.4-universal,0.33,0.0
janmanek.maicrew-status-vscode,0.10.1-universal,janmanek.maicrew-status-vscode-0.10.1-universal,0.33,0.0
leonardomjq.goblin-mode,0.3.2-universal,leonardomjq.goblin-mode-0.3.2-universal,0.33,0.0
myoontyee.claude-code-prism,0.6.3-universal,myoontyee.claude-code-prism-0.6.3-universal,0.33,0.0
revanthpobala.agentic-gatekeeper,1.3.0-universal,revanthpobala.agentic-gatekeeper-1.3.0-universal,0.33,0.0
wardy.wardy,0.3.0-universal,wardy.wardy-0.3.0-universal,0.33,0.0
wpipe.wpipe-vscode,1.0.5-universal,wpipe.wpipe-vscode-1.0.5-universal,0.33,0.0
ygqygq2.turbo-print-log,4.0.0-universal,ygqygq2.turbo-print-log-4.0.0-universal,0.33,0.0
debugpyattacher.debugpy-attacher,1.3.0-universal,debugpyattacher.debugpy-attacher-1.3.0-universal,0.32,0.0
gautampachnanda101.promptx-chat-participant,0.5.0-universal,gautampachnanda101.promptx-chat-participant-0.5.0-universal,0.32,0.0
harryhopkinson.vs-code-runner,2.2.5-universal,harryhopkinson.vs-code-runner-2.2.5-universal,0.32,0.0
llegomark.ag-telemetry,2.0.4-universal,llegomark.ag-telemetry-2.0.4-universal,0.32,0.0
ms-vscode.mock-debug,0.52.0-universal,ms-vscode.mock-debug-0.52.0-universal,0.32,0.0
toragonite.claude-code-orchestrator,1.1.1-universal,toragonite.claude-code-orchestrator-1.1.1-universal,0.32,0.0
edgeonepages.edgeone-pages,0.0.6-universal,edgeonepages.edgeone-pages-0.0.6-universal,0.31,0.0
estock.estock-watcher,0.9.0-universal,estock.estock-watcher-0.9.0-universal,0.31,0.0
headout.eevee-tokens-visualizer,1.2.4-universal,headout.eevee-tokens-visualizer-1.2.4-universal,0.31,0.0
hwantage.cursor-ime-indicator,0.1.0-universal,hwantage.cursor-ime-indicator-0.1.0-universal,0.31,0.0
moalamri.inline-fold,0.2.3-universal,moalamri.inline-fold-0.2.3-universal,0.31,0.0
nopeslide.vscode-drawio-plugin-wavedrom,0.0.1-universal,nopeslide.vscode-drawio-plugin-wavedrom-0.0.1-universal,0.31,0.0
redsilence.antigravity-os,0.1.3-universal,redsilence.antigravity-os-0.1.3-universal,0.31,0.0
rodsarhan.tstypecolorpreview,0.2.2-universal,rodsarhan.tstypecolorpreview-0.2.2-universal,0.31,0.0
tangkeimg.moba-status-bar,1.4.0-universal,tangkeimg.moba-status-bar-1.4.0-universal,0.31,0.0
tomyoktavian.device-simulator,0.1.2-universal,tomyoktavian.device-simulator-0.1.2-universal,0.31,0.0
duvaragesh.ibm-iagentx,0.2.4-universal,duvaragesh.ibm-iagentx-0.2.4-universal,0.3,0.0
manmanson.so-latch,0.1.0-win32-x64,manmanson.so-latch-0.1.0-win32-x64,0.3,0.0
waelabosamra.copilot-rtl,0.3.0-universal,waelabosamra.copilot-rtl-0.3.0-universal,0.3,0.0
changwenluo.codex-link,0.0.7-universal,changwenluo.codex-link-0.0.7-universal,0.29,0.0
daniele-lenares.gittini,1.0.1-universal,daniele-lenares.gittini-1.0.1-universal,0.29,0.0
eguskov.dascript,0.0.28-universal,eguskov.dascript-0.0.28-universal,0.29,0.0
jeurboy.ai-context-bridge,0.6.2-universal,jeurboy.ai-context-bridge-0.6.2-universal,0.29,0.0
mikesoft.vscode-super-cli,0.8.3-universal,mikesoft.vscode-super-cli-0.8.3-universal,0.29,0.0
ms-vscode.node-debug,1.45.0-universal,ms-vscode.node-debug-1.45.0-universal,0.29,0.0
onxgroup.elastic-tabstops-mono,1.1.0-universal,onxgroup.elastic-tabstops-mono-1.1.0-universal,0.29,0.0
pfwobcke.vscode-ttf,1.1.1-universal,pfwobcke.vscode-ttf-1.1.1-universal,0.29,0.0
viber.viber,1.0.6-universal,viber.viber-1.0.6-universal,0.29,0.0
yehudalevy-collab.polis-protocol,0.2.2-universal,yehudalevy-collab.polis-protocol-0.2.2-universal,0.29,0.0
awaitful.awaitful,0.7.2-universal,awaitful.awaitful-0.7.2-universal,0.28,0.0
defenter.defenter-vsc,0.0.96-universal,defenter.defenter-vsc-0.0.96-universal,0.28,0.0
ducflair.duc,3.0.0-universal,ducflair.duc-3.0.0-universal,0.28,0.0
flamezerg.cc-cli-quota,1.1.8-universal,flamezerg.cc-cli-quota-1.1.8-universal,0.28,0.0
ibm.ibmidebug,3.0.3-universal,ibm.ibmidebug-3.0.3-universal,0.28,0.0
kibernet.zentao-bug-assistant-vscode,1.2.0-universal,kibernet.zentao-bug-assistant-vscode-1.2.0-universal,0.28,0.0
mcpower.mcpower,0.0.87-universal,mcpower.mcpower-0.0.87-universal,0.28,0.0
mkxml.vscode-filesize,3.2.2-universal,mkxml.vscode-filesize-3.2.2-universal,0.28,0.0
porcelli-dev.json-2-toon,0.6.0-universal,porcelli-dev.json-2-toon-0.6.0-universal,0.28,0.0
px39n.obsidianpreview,1.0.19-universal,px39n.obsidianpreview-1.0.19-universal,0.28,0.0
soumyaprasadrana.vscode-java-debugx,1.0.3-universal,soumyaprasadrana.vscode-java-debugx-1.0.3-universal,0.28,0.0
sumukhp-dev.cursor-sagemaker-notebook-connector,1.2.1-universal,sumukhp-dev.cursor-sagemaker-notebook-connector-1.2.1-universal,0.28,0.0
sumukhp-dev.sagemaker-remote-connection,1.1.1-universal,sumukhp-dev.sagemaker-remote-connection-1.1.1-universal,0.28,0.0
bynara-id.bynara-vscode,0.71.2-universal,bynara-id.bynara-vscode-0.71.2-universal,0.27,0.0
flowstudio.flowstudio-mcp,0.6.0-universal,flowstudio.flowstudio-mcp-0.6.0-universal,0.27,0.0
kuarkdev.kuark-studio-ext,0.3.0-universal,kuarkdev.kuark-studio-ext-0.3.0-universal,0.27,0.0
peterdev.codegroup-file-organizer,1.3.0-universal,peterdev.codegroup-file-organizer-1.3.0-universal,0.27,0.0
romainmenke.csstools-design-tokens,1.2.0-universal,romainmenke.csstools-design-tokens-1.2.0-universal,0.27,0.0
samuelcolvin.jinjahtml,0.20.0-universal,samuelcolvin.jinjahtml-0.20.0-universal,0.27,0.0
worklifesg.archsketch,0.1.4-universal,worklifesg.archsketch-0.1.4-universal,0.27,0.0
zerog-ai.zerog-vscode-bridge,1.0.1-universal,zerog-ai.zerog-vscode-bridge-1.0.1-universal,0.27,0.0
christofkaufmann.dataframe-viewer,0.0.3-universal,christofkaufmann.dataframe-viewer-0.0.3-universal,0.26,0.0
drdelco.mimo-provider,1.1.0-universal,drdelco.mimo-provider-1.1.0-universal,0.26,0.0
keyshout.webhook-inspector,0.1.2-universal,keyshout.webhook-inspector-0.1.2-universal,0.26,0.0
moonrepo.moon-console,0.16.6-universal,moonrepo.moon-console-0.16.6-universal,0.26,0.0
questo.lens-cursor-extension,0.3.3-universal,questo.lens-cursor-extension-0.3.3-universal,0.26,0.0
znork.auto-accept-agent-free,1.2.9-universal,znork.auto-accept-agent-free-1.2.9-universal,0.26,0.0
emusal.alogin-skills,0.2.2-universal,emusal.alogin-skills-0.2.2-universal,0.25,0.0
ericsia.pythonsnippets3pro,3.3.2-universal,ericsia.pythonsnippets3pro-3.3.2-universal,0.25,0.0
flowstudio.flowstudio-mcp-claude,0.2.2-universal,flowstudio.flowstudio-mcp-claude-0.2.2-universal,0.25,0.0
gguf.gguf-editor,0.1.5-universal,gguf.gguf-editor-0.1.5-universal,0.25,0.0
giancarloerra.socraticode,1.8.18-universal,giancarloerra.socraticode-1.8.18-universal,0.25,0.0
livrasand.codetrackr-official,1.0.2-universal,livrasand.codetrackr-official-1.0.2-universal,0.25,0.0
locust.locust-vscode-extension,0.1.70-universal,locust.locust-vscode-extension-0.1.70-universal,0.25,0.0
snipara.snipara,2.0.8-universal,snipara.snipara-2.0.8-universal,0.25,0.0
toppymicroservices.beads-git-graph,0.3.0-universal,toppymicroservices.beads-git-graph-0.3.0-universal,0.25,0.0
vireon-craft.ag-monitor,1.1.1-universal,vireon-craft.ag-monitor-1.1.1-universal,0.25,0.0
damvolkov.ecodewhisper,0.3.2-universal,damvolkov.ecodewhisper-0.3.2-universal,0.24,0.0
efemer.aicoach,0.6.0-universal,efemer.aicoach-0.6.0-universal,0.24,0.0
ericsia.pythonsnippets3,3.3.18-universal,ericsia.pythonsnippets3-3.3.18-universal,0.24,0.0
morvism.hooshyar,0.3.0-universal,morvism.hooshyar-0.3.0-universal,0.24,0.0
mrbeandev.mcp-http-tool,0.0.2-universal,mrbeandev.mcp-http-tool-0.0.2-universal,0.24,0.0
psychobarge.stanza-line-counter,0.9.2-universal,psychobarge.stanza-line-counter-0.9.2-universal,0.24,0.0
ryukenshin546-a11y.claude-prompt-meter,0.6.2-universal,ryukenshin546-a11y.claude-prompt-meter-0.6.2-universal,0.24,0.0
zheng404.ai-quota-dashboard,1.1.0-universal,zheng404.ai-quota-dashboard-1.1.0-universal,0.24,0.0
codertesla.wtf-commit,1.14.1-universal,codertesla.wtf-commit-1.14.1-universal,0.23,0.0
devglobe.devglobe,2.1.0-universal,devglobe.devglobe-2.1.0-universal,0.23,0.0
fill-labs.dependi,0.7.25-universal,fill-labs.dependi-0.7.25-universal,0.23,0.0
inspecto.inspecto,0.0.10-universal,inspecto.inspecto-0.0.10-universal,0.23,0.0
jagatees.kiro-stat,0.3.2-universal,jagatees.kiro-stat-0.3.2-universal,0.23,0.0
kamotami.zuiku-extension,1.3.0-universal,kamotami.zuiku-extension-1.3.0-universal,0.23,0.0
kayorama.kayorama-autopilot,8.0.0-universal,kayorama.kayorama-autopilot-8.0.0-universal,0.23,0.0
kingcle.kingcle-ai,0.2.0-universal,kingcle.kingcle-ai-0.2.0-universal,0.23,0.0
lferrarezi.devin-cli-chat-vscode,1.12.0-universal,lferrarezi.devin-cli-chat-vscode-1.12.0-universal,0.23,0.0
saltand.yet-another-commit-message-generator,1.0.8-universal,saltand.yet-another-commit-message-generator-1.0.8-universal,0.23,0.0
tazztone.jules-vscode,0.3.0-beta.3.21-universal,tazztone.jules-vscode-0.3.0-beta.3.21-universal,0.23,0.0
weinaike.aiat,0.0.7-universal,weinaike.aiat-0.0.7-universal,0.23,0.0
djiit.vscode-custom-prompts,0.3.1-universal,djiit.vscode-custom-prompts-0.3.1-universal,0.22,0.0
gfautomation.auto-agent-accept,5.0.0-universal,gfautomation.auto-agent-accept-5.0.0-universal,0.22,0.0
hbenl.vscode-test-explorer,2.22.1-universal,hbenl.vscode-test-explorer-2.22.1-universal,0.22,0.0
intentra.intentra-windsurf,0.5.0-universal,intentra.intentra-windsurf-0.5.0-universal,0.22,0.0
mrbeandev.mcp-mysql-tool,0.0.4-universal,mrbeandev.mcp-mysql-tool-0.0.4-universal,0.22,0.0
rhinosoftware.go-memory-visualizer,0.3.1-universal,rhinosoftware.go-memory-visualizer-0.3.1-universal,0.22,0.0
salesforce.sfdx-code-analyzer-vscode,1.18.0-universal,salesforce.sfdx-code-analyzer-vscode-1.18.0-universal,0.22,0.0
wingrunr21.vscode-ruby,0.28.0-universal,wingrunr21.vscode-ruby-0.28.0-universal,0.22,0.0
byteyang.nexus-mcp-vscode,1.4.2-universal,byteyang.nexus-mcp-vscode-1.4.2-universal,0.21,0.0
farseman.code-studio,1.1.0-universal,farseman.code-studio-1.1.0-universal,0.21,0.0
gustago.tpy-editor,1.2.1-universal,gustago.tpy-editor-1.2.1-universal,0.21,0.0
hassanlasheenn.tweakr-dev,1.0.5-universal,hassanlasheenn.tweakr-dev-1.0.5-universal,0.21,0.0
kuqoi.kuqoi,0.0.21-universal,kuqoi.kuqoi-0.0.21-universal,0.21,0.0
lferrarezi.coorquestrador,1.0.1-universal,lferrarezi.coorquestrador-1.0.1-universal,0.21,0.0
long-kudo.vscode-claude-status,0.6.2-universal,long-kudo.vscode-claude-status-0.6.2-universal,0.21,0.0
nadim-vscode.symfony-code-snippets,2.1.1-universal,nadim-vscode.symfony-code-snippets-2.1.1-universal,0.21,0.0
oryanp.vscode-vrl,0.1.3-universal,oryanp.vscode-vrl-0.1.3-universal,0.21,0.0
p2l2.hdlregression-by-hgb,1.0.2-universal,p2l2.hdlregression-by-hgb-1.0.2-universal,0.21,0.0
renan-r-santos.pixi-code,0.2.0-universal,renan-r-santos.pixi-code-0.2.0-universal,0.21,0.0
revng.llvm-ir,1.0.5-universal,revng.llvm-ir-1.0.5-universal,0.21,0.0
summitpatil.speckit-tracker,1.0.5-universal,summitpatil.speckit-tracker-1.0.5-universal,0.21,0.0
zazmic.palm-api-code-review,0.0.10,zazmic.palm-api-code-review-0.0.10,0.21,0.0
christopherthomas.boomergit,0.3.2-universal,christopherthomas.boomergit-0.3.2-universal,0.2,0.0
etsi0.class-collapse,1.0.20260228-universal,etsi0.class-collapse-1.0.20260228-universal,0.2,0.0
iammrait.vultr-kimi-code,0.1.8-universal,iammrait.vultr-kimi-code-0.1.8-universal,0.2,0.0
kv9898.positron-r-package-manager,0.2.5-universal,kv9898.positron-r-package-manager-0.2.5-universal,0.2,0.0
linjhs.skills-wizard,1.2.7-universal,linjhs.skills-wizard-1.2.7-universal,0.2,0.0
luozhihao.call-graph,1.2.3-universal,luozhihao.call-graph-1.2.3-universal,0.2,0.0
mjkubba.local-llm,0.1.1-universal,mjkubba.local-llm-0.1.1-universal,0.2,0.0
nadim-vscode.twig-code-snippets,2.0.0-universal,nadim-vscode.twig-code-snippets-2.0.0-universal,0.2,0.0
rotifer-foundation.rotifer-vscode,0.9.0-universal,rotifer-foundation.rotifer-vscode-0.9.0-universal,0.2,0.0
specmind.specmind-vscode,0.5.2,specmind.specmind-vscode-0.5.2,0.2,0.0
byteask.byteask-vscode,0.1.5-universal,byteask.byteask-vscode-0.1.5-universal,0.19,0.0
chronostasks.chronos-ide-utility,1.2.1-universal,chronostasks.chronos-ide-utility-1.2.1-universal,0.19,0.0
eclipse-cdt.websocket-adapter,0.0.5-universal,eclipse-cdt.websocket-adapter-0.0.5-universal,0.19,0.0
edwarddjss.headroom,1.2.17-universal,edwarddjss.headroom-1.2.17-universal,0.19,0.0
flow-intelligence.flow-intelligence,0.3.1-universal,flow-intelligence.flow-intelligence-0.3.1-universal,0.19,0.0
freewebsolution.webdev,0.1.5-universal,freewebsolution.webdev-0.1.5-universal,0.19,0.0
imontaine.helm-auto-continue,2.6.0-universal,imontaine.helm-auto-continue-2.6.0-universal,0.19,0.0
liaojianjin.remote-model-viewer,0.0.9-universal,liaojianjin.remote-model-viewer-0.0.9-universal,0.19,0.0
mdsadiqmd.csv-table-view,1.0.0-universal,mdsadiqmd.csv-table-view-1.0.0-universal,0.19,0.0
nexusgpu.gpu-go,0.1.14-universal,nexusgpu.gpu-go-0.1.14-universal,0.19,0.0
odtian.omni-chat-provider,0.1.10-universal,odtian.omni-chat-provider-0.1.10-universal,0.19,0.0
percy.vscode-numpy-viewer,0.1.10-universal,percy.vscode-numpy-viewer-0.1.10-universal,0.19,0.0
rahul-bhatt43.qr-forge,1.0.0-universal,rahul-bhatt43.qr-forge-1.0.0-universal,0.19,0.0
sanjeevan43.apexon,0.5.3-universal,sanjeevan43.apexon-0.5.3-universal,0.19,0.0
valmack.circleci-config-validator,0.0.1-universal,valmack.circleci-config-validator-0.0.1-universal,0.19,0.0
yut0takagi.sessionsmith,0.3.0-universal,yut0takagi.sessionsmith-0.3.0-universal,0.19,0.0
zstings.claude-code-zh-cn,1.1.6-universal,zstings.claude-code-zh-cn-1.1.6-universal,0.19,0.0
corp.trace-insight,0.4.0-universal,corp.trace-insight-0.4.0-universal,0.18,0.0
elagil.pre-commit-helper,0.6.0-universal,elagil.pre-commit-helper-0.6.0-universal,0.18,0.0
filipsuk.lineheat-vscode,0.1.7-universal,filipsuk.lineheat-vscode-0.1.7-universal,0.18,0.0
hyperspacetechnologies.reactor-vscode,0.1.2-universal,hyperspacetechnologies.reactor-vscode-0.1.2-universal,0.18,0.0
memoryai.memoryai-vsx,0.5.3-universal,memoryai.memoryai-vsx-0.5.3-universal,0.18,0.0
mrkeles61.yolomode,3.1.1-universal,mrkeles61.yolomode-3.1.1-universal,0.18,0.0
novastore.novastore-antigravity-auto-retry,1.2.8-universal,novastore.novastore-antigravity-auto-retry-1.2.8-universal,0.18,0.0
usernamehw.errorlens,3.28.0-universal,usernamehw.errorlens-3.28.0-universal,0.18,0.0
vrishnviswasathyamoorthy.cursorforspeech,3.6.0-universal,vrishnviswasathyamoorthy.cursorforspeech-3.6.0-universal,0.18,0.0
carlosiborra.ralphban,1.0.2-universal,carlosiborra.ralphban-1.0.2-universal,0.17,0.0
datalabrotterdam.nova-ai-vscode,1.0.10-universal,datalabrotterdam.nova-ai-vscode-1.0.10-universal,0.17,0.0
formulateai.continuum,0.2.0-universal,formulateai.continuum-0.2.0-universal,0.17,0.0
formulateai.continuum-vscode,0.2.0-universal,formulateai.continuum-vscode-0.2.0-universal,0.17,0.0
ghost-dev.ctrl-z-terminal,0.1.1-universal,ghost-dev.ctrl-z-terminal-0.1.1-universal,0.17,0.0
gnagnom94.open-items-tracker,0.4.2-universal,gnagnom94.open-items-tracker-0.4.2-universal,0.17,0.0
hakkietem.cucumber-java-easy-runner,0.1.16-universal,hakkietem.cucumber-java-easy-runner-0.1.16-universal,0.17,0.0
israelroze.agent-loadout,0.1.4-universal,israelroze.agent-loadout-0.1.4-universal,0.17,0.0
khaosai.khaosai,0.2.0-universal,khaosai.khaosai-0.2.0-universal,0.17,0.0
mrbeandev.mcp-sqlite-tool,0.0.4-universal,mrbeandev.mcp-sqlite-tool-0.0.4-universal,0.17,0.0
nextcortex.nextcortex-antigravity-monitor,2.0.2-universal,nextcortex.nextcortex-antigravity-monitor-2.0.2-universal,0.17,0.0
prashantmalan.claude-5dd,1.0.1-universal,prashantmalan.claude-5dd-1.0.1-universal,0.17,0.0
prashantmalan.claude-steward,1.0.2-universal,prashantmalan.claude-steward-1.0.2-universal,0.17,0.0
prashantmalan.claude-token-optimizer,1.0.0-universal,prashantmalan.claude-token-optimizer-1.0.0-universal,0.17,0.0
wendylabsinc.wendy-vscode,0.1.1-universal,wendylabsinc.wendy-vscode-0.1.1-universal,0.17,0.0
